Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
Pashupati Nath Singh,DHANBAD,BJP,1,Graduate,"Rsÿ2,42,48,150",Rsÿ0
,,,,,~ 2ÿCrore+,~ 
Savitri Thakur,DHAR,BJP,0,10th Pass,"Rsÿ96,06,464","Rsÿ15,82,845"
,,,,,~ 96ÿLacs+,~ 15ÿLacs+
Anbumani Ramadoss,DHARMAPURI,PMK,8,Graduate Professional,"Rsÿ31,43,78,451","Rsÿ4,19,41,065"
,,,,,~ 31ÿCrore+,~ 4ÿCrore+
Pralhad Joshi,DHARWAD,BJP,1,Graduate,"Rsÿ4,19,79,658","Rsÿ67,39,989"
,,,,,~ 4ÿCrore+,~ 67ÿLacs+
Rekha,DHAURAHRA,BJP,0,12th Pass,"Rsÿ1,04,35,468","Rsÿ23,75,000"
,,,,,~ 1ÿCrore+,~ 23ÿLacs+
Tathagata Satpathy,DHENKANAL,BJD,7,Others,"Rsÿ3,54,34,099",Rsÿ0
,,,,,~ 3ÿCrore+,~ 
Badruddin Ajmal,DHUBRI,AIUDF,1,Post Graduate,"Rsÿ43,27,48,134",Rsÿ0
,,,,,~ 43ÿCrore+,~ 
Bhamare Subhash Ramrao,DHULE,BJP,0,Post Graduate,"Rsÿ12,58,33,320","Rsÿ6,60,757"
,,,,,~ 12ÿCrore+,~ 6ÿLacs+
Abhishek Banerjee,DIAMOND HARBOUR,AITC,0,Post Graduate,"Rsÿ1,51,99,272",Rsÿ0
